division;clase;subclase;orden;familia;aceptado;genero;especie;Variedad;Subespecie;autor;nombre;clasificacion;basionimo;endemica;zona_vdw;paises_andinotropicales;distribucion_mundial;ecorregion;ecosistema;habito;sustrato;Lista Roja mundial;CategoriaIUCN;CriterioIUCN;AutorCriterio;Revision;Revisor;FechaRevision;Comentarios
Bryophyta;Bryopsida;Bryidae;Hypnales;Amblystegiaceae;1;Amblystegium;varium;;;(Hedw.) Lindb.;Amblystegium varium;6;;0;;;México, Belice, Guatemala, Colombia, Ecuador, Perú, Brasil, Bolivia, Argentina, Venezuela;Andes;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Amblystegiaceae;1;Anacamptodon;cubensis;;;(Sull.) Mitt.;Anacamptodon cubensis;6;;0;;;Cuba, Puerto Rico, Venezuela, Perú, Brasil. Bolivia;Sur del Orinoco (Guayana);;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Amblystegiaceae;1;Calliergonella;cuspidata;;;(Hedw.) Loeske;Calliergonella cuspidata;6;;0;;;México,  Colombia,  Bolivia,  Chile , Perú, Estados Unidos, Europa, Centroamérica y el Caribe, Asia. También Estados Unidos,  Europa,  Centroamérica y el Caribe, Asia.;Andes;;;;;;;;Calliergonella cuspidata (Hedw.) Loeske Nombre aceptado por Hedenäs 2003 Fl. Neotrop. 89: 81.;Ussher M. S. (MERC) ;2011-10-24;
Bryophyta;Bryopsida;Bryidae;Hypnales;Amblystegiaceae;1;Campylophyllum;sommerfeltii;;;(Myrin) Hedenäs;Campylophyllum sommerfeltii;6;;0;;;México, Guatemala,  Honduras,  Haití, Rep. Dominicana,  Guadalupe, Perú,  Colombia,   Ecuador,  Perú, Bolivia, Norte América y Eurasia;Andes;;Saxícola;Roca;;;;;Campylophyllum sommerfeltii (Myrin) Hedenäs Nombre aceptado por Hedenäs 2003 FL. Neotrop. 89: 93.  . ;"Ussher, M. S.; León Y. (MERC) ";2011-10-24;En Griffin 1975 como Campylium hispidulum (Brid.) Mitt. 
Bryophyta;Bryopsida;Bryidae;Hypnales;Amblystegiaceae;1;Campyliadelphus;chrysophyllus;;;(Brid.) Lange;Campyliadelphus chrysophyllus;6;;0;;;México, Guatemala, Cuba, Jamaica, Haití, República Dominicana, Colombia, Venezuela;Andes;;;;;;;;Campyliadelphus chrysophyllus (Brid.) Kanda Nombre aceptado por Hedenäs 2003 Fl. Neotrop. 89: 89. ;Ussher M. S. (MERC) ;2011-10-24;
Bryophyta;Bryopsida;Bryidae;Hypnales;Amblystegiaceae;1;Campyliadelphus;stellatus;;;(Hedw.) Kanda;Campyliadelphus stellatus;6;;0;Am 1, Am 2, Am 4, Afr 1, As 1 As 2, As 3, As 5, Eur;;Jamaica,  Colombia,  Ecuador,  Perú,  Brasil,  México,  Argentina,  Nueva Zelanda y Australia.  Norte América, Eurasia, Norte  y NE África. Común en Norte América en zonas templadas,  Eurasia,  N y NE África.;Andes;;;;;;;;Campylium stellatum (Hedw.) C. E. O. Jensen Nombre aceptado por Hedenäs 2003 Fl. Neotrop. 89: 84. ;Ussher M. S. (MERC) ;2011-10-24;
Bryophyta;Bryopsida;Bryidae;Hypnales;Amblystegiaceae;1;Cratoneuron;filicinum;;;(Hedw.) Spruce;Cratoneuron filicinum;6;;0;Am 1, Am 2, Am 3, Am 4, Am 5, Afr 1, As 1, As 2, As 3, Austr 2, Eur;;Estados Unidos,  Europa,  Asia, Oceanía,  Chile,  Colombia,  Ecuador y Perú.;Andes;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Amblystegiaceae;1;Hamatocaulis;vernicosus;;;(Mitt.) Hedenäs;Hamatocaulis vernicosus;6;;0;Am 1, 2, 4, As 1, 2, Afr. 1, Eur.;;;Andes;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Amblystegiaceae;1;Leptodictyum;riparium;;;(Hedw.) Warnst.;Leptodictyum riparium;6;;0;Am 1, Am 3, Afr. 1, Afr 3, Afr 4, As 1, As 2, As 3, Austr 1, Eur.;;Brasil, Colombia, Antillas, Centroamérica, Venezuela, Hemisferio Norte. De amplia distribución en zonas templadas en hemisferio Norte;Andes;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Amblystegiaceae;1;Pseudocalliergon;trifarium;;;(F. Weber & D. Mohr) Loeske;Pseudocalliergon trifarium;6;;0;Am. 1, Am 4, As 1, Eur.;;Venezuela,  Colombia, Norte América y Eurasia, Republica Dominicana. De amplia distribución en N. América y Eurasia.;Andes;;Acuático;Talud;;;;;Pseudocalliergon trifarium (F. Weber & D. Mohr) Loeske  Nombre aceptado por Hedenäs 2003 Fl. Neotrop. 89: 65.   ;Ussher M. S. (MERC) ;2011-10-24;En Griffin 1975 como Calliergon trifarium (Web & Mohr) Kindl.
