division;clase;subclase;orden;familia;aceptado;genero;especie;Variedad;Subespecie;autor;Genero/Especie;nombre;clasificacion;basionimo;endemica;zona_vdw;paises_andinotropicales;distribucion_mundial;ecorregion;ecosistema;habito;sustrato;Lista Roja mundial;CategoriaIUCN;CriterioIUCN;AutorCriterio;Revision;Revisor;FechaRevision;Comentarios
Bryophyta;Bryopsida;Dicranidae;Dicranales;Fissidentaceae;!;Fissidens;curvatus;;;Hornsch;!Fissidens curvatus Hornsch;Fissidens curvatus;Especie;;0;Am 1, Am 2, Am 3, Am 4, Afr 4, As 3, AS 4, Austr 1, Eur.;;Republica Dominicana, Colombia, Ecuador, Brasil, Bolivia, Chile, Perú, Argentina, Venezuela;;;Terrestre;Suelo;;;;;;;;Crece sobre suelo, a menudo a lo largo de los arroyos
Bryophyta;Bryopsida;Dicranidae;Dicranales;Fissidentaceae;!;Fissidens;dissitifolius;;;Sull.;!Fissidens dissitifolius Sull.;Fissidens dissitifolius;Especie;;0;Am 2, Am 3, Am 4.;;;;;Terrestre, Saxícola, Acuático;Suelo, Roca calcárea #;;;;;;;;Crece sobre suelo húmedo, rocas igneas y calizas, a menudo Acuáticos
Bryophyta;Bryopsida;Dicranidae;Dicranales;Fissidentaceae;!;Fissidens;elegans;;;Brid.;!Fissidens elegans Brid.;Fissidens elegans;Especie;;0;Am 2, Am 3, Am 4, Am 5;;Costa del Golfo de Estados Unidos,  México, Colombia, América del Sur y las Indias Occidentales;;;Terrestre, Lignícola;Suelo, Madera en descomposición;;;;;;;;En Pittier 1936 como Fissidens mollis Mitt.
Bryophyta;Bryopsida;Dicranidae;Dicranales;Fissidentaceae;!;Fissidens;flaccidus;;;Mitt.;!Fissidens flaccidus Mitt.;Fissidens flaccidus;Especie;;0;Am 2, Am 3, Am 4, Am 5, Am 6,  Afr 2, Afr 3.;;México, Colombia, América Central,  Indias Occidentales,  América del Sur;;;Terrestre, Lignícola, Epífito, Saxícola;Suelo, Madera en descomposición, Tronco, Roca;;;;;Fissidens flaccidus Mitt. Nombre aceptado por Pursell 2007 Fl. Neotrop. 101: 236. ;Ussher, M. S. (MERC) ;2011-10-25;En Pursell 1973 como Fissidens molli Mitt. Crece sobre suelo húmedo, madera podrida, troncos de los árboles, rocas, roca mojada, en troncos
Bryophyta;Bryopsida;Dicranidae;Dicranales;Fissidentaceae;!;Fissidens;gardneri;;;Mitt.;!Fissidens gardneri Mitt.;Fissidens gardneri;Especie;;0;Am 4, Am 5.;;México, Costa Rica, Venezuela, Brasil;;;Epífito;Tronco, Arbol;;;;;;;;
Bryophyta;Bryopsida;Dicranidae;Dicranales;Fissidentaceae;!;Fissidens;goyazensis;;;Broth.;!Fissidens goyazensis Broth.;Fissidens goyazensis;Especie;;0;Am 2, Am 4, Am 5.;;;;;Terrestre, Saxícola;Suelo, Roca;;;;;;;;
Bryophyta;Bryopsida;Dicranidae;Dicranales;Fissidentaceae;!;Fissidens;guianensis;;;Mont.;!Fissidens guianensis Mont.;Fissidens guianensis;Especie;;0;;;;;;;;;;;;;;;
Bryophyta;Bryopsida;Dicranidae;Dicranales;Fissidentaceae;!;Fissidens;guianensis;var. guianensis;;;!Fissidens guianensis var. guianensis ;Fissidens guianensis var. guianensis;Variedad;;0;Am 4, Am 5.;Bolivia, Perú;Bolivia,  Brasil,  Costa Rica,  Honduras,  Puerto Rico, Colombia,  Colombia,  Guyana Francesa,  Panamá,  Perú y Surinam;;;Terrestre, Epífito, Lignícola, Saxícola,;Suelo, Base de tronco,  Arbol, Raíz, Madera en descomposición, Roca;;;;;;;;
Bryophyta;Bryopsida;Dicranidae;Dicranales;Fissidentaceae;!;Fissidens;inaequalis;;;Mitt.;!Fissidens inaequalis Mitt.;Fissidens inaequalis;Especie;;0;Am 3, Am 4, Am 5.;;;;;Lignícola, Saxícola, Epfito;Madera en descomposición, Roca, Raíz;;;;;;;;En Pittier 1936 como Fissidens latiusculus (C. Mull) Broth.
Bryophyta;Bryopsida;Dicranidae;Dicranales;Fissidentaceae;!;Fissidens;inclinis;;;Müll. Hal.;!Fissidens inclinis Müll. Hal.;Fissidens inclinis;Especie;;1;Am 4.;Venezuela;;;;;;;;;;;;;
Bryophyta;Bryopsida;Dicranidae;Dicranales;Fissidentaceae;!;Fissidens;intramarginatus;;;(Hampe) Jaeger;!Fissidens intramarginatus (Hampe) Jaeger;Fissidens intramarginatus;Especie;;0;Am 4.;Venezuela, Colombia, Ecuador, Perú y Bolivia;México, Colombia, América Central,  Indias Occidentales,  América del Sur;;;Terrestre, Saxícola, Epífito;Suelo, Roca, Base de tronco;;;;;;;;
Bryophyta;Bryopsida;Dicranidae;Dicranales;Fissidentaceae;!;Fissidens;lagenarius;var. lagenarius;;;!Fissidens lagenarius var. lagenarius ;Fissidens lagenarius var. lagenarius;Variedad;;0;;;México, Colombia, América Central,  América del Sur;;;Epífito , Lignícola;Rama, Tronco, Madera en descomposición;;;;;;;;
Bryophyta;Bryopsida;Dicranidae;Dicranales;Fissidentaceae;!;Fissidens;lagenarius;var. muriculatus;;(Spruce ex Mitt.) Pursell;!Fissidens lagenarius var. muriculatus (Spruce ex Mitt.) Pursell;Fissidens lagenarius var. muriculatus;Variedad;;0;Am 2, Am 3, Am 4, Am 5;;"Guatemala; Brasil; Indias Occidentales";;;Epífito, Lignícola;Rama, Tocón, Madera en descomposición;;;;;Fissidens lagenarius var. muriculatus (Spruce ex Mitt.) Pursell  Nombre aceptado por Pursell 2007 Fl. Neotrop. 101: 181.;Ussher, M. S. (MERC) ;2011-10-24;En Pursell 1973 como Fissidens diplodus Mitt.  
Bryophyta;Bryopsida;Dicranidae;Dicranales;Fissidentaceae;!;Fissidens;leptophyllus;;;Mont;!Fissidens leptophyllus Mont;Fissidens leptophyllus;Especie;;0;;;América Central,  América del Sur;;;Epífito, Lignícola, Saxícola, Terrestre;Rama, Corteza, Raíz, Madera en descomposición, Roca, Suelo;;;;;;;;
Bryophyta;Bryopsida;Dicranidae;Dicranales;Fissidentaceae;!;Fissidens;lindbergii;;;A. Jaeger;!Fissidens lindbergii A. Jaeger;Fissidens lindbergii;Especie;;0;;;Venezuela,  Trinidad,  Ecuador,  Brasil,  Paraguay;;;Terrestre, Epífito;Suelo, Muro;;;;;;;;
Bryophyta;Bryopsida;Dicranidae;Dicranales;Fissidentaceae;!;Fissidens;neglectus;;;H. A. Crum;!Fissidens neglectus H. A. Crum;Fissidens neglectus;Especie;;0;Am 2, Am 4.;;México, Colombia, América Central,  Indias Occidentales,  América del Sur;;;Terrestre, Saxícola, Epífito;Suelo, Roca, Raíz;;;;;;;;
Bryophyta;Bryopsida;Dicranidae;Dicranales;Fissidentaceae;!;Fissidens;oblongifolius;;;Hook. f. & Wilson;!Fissidens oblongifolius Hook. f. & Wilson;Fissidens oblongifolius;Especie;;0;;;México, Colombia, América Central,  América del Sur;;;Terrestre, Epífito, Lignícola, Saxícola;Suelo, Raíz, Madera en descomposición, Roca;;;;;;;;
