division;clase;subclase;orden;familia;aceptado;genero;especie;Variedad;Subespecie;autor;nombre;clasificacion;basionimo;endemica;zona_vdw;paises_andinotropicales;distribucion_mundial;ecorregion;ecosistema;habito;sustrato;Lista Roja mundial;CategoriaIUCN;CriterioIUCN;AutorCriterio;Revision;Revisor;FechaRevision;Comentarios
Bryophyta;Polytrichopsida;;Polytrichales;Polytrichaceae;1;Polytrichadelphus;ciliatus;;;(Hook.f. & Wilson) Mitt.;Polytrichadelphus ciliatus;6;;0;Am 4.;;Venezuela,  Colombia,  Ecuador;;;;;;;;;;;;
Bryophyta;Polytrichopsida;;Polytrichales;Polytrichaceae;1;Polytrichadelphus;ericoides;;;(Hampe) Mitt.;Polytrichadelphus ericoides;6;;0;Am 4.;Venezuela, Colombia, Ecuador y Bolivia) DISTRIBUCIÓN DE Polytrichum ericoides Hampe;;;;Terrestre, Saxícola;Suelo # Roca;;;;;;;;En Churchill et al. 2000 como Polytrichum ericoides Hampe. 
Bryophyta;Polytrichopsida;;Polytrichales;Polytrichaceae;1;Polytrichadelphus;longisetus;;;(Brid.) Mitt.;Polytrichadelphus longisetus;6;;0;Am 4.;Venezuela, Colombia, Ecuador y Perú;;;;Terrestre;Talud;;;;;;;;
Bryophyta;Polytrichopsida;;Polytrichales;Polytrichaceae;1;Polytrichadelphus;peruvianus;;;Broth.;Polytrichadelphus peruvianus;6;;0;Am 4.;Venezuela, Ecuador y Perú;Venezuela,  Perú;;;;;;;;;;;;
Bryophyta;Polytrichopsida;;Polytrichales;Polytrichaceae;1;Polytrichadelphus;valenciae;;;(Müll. Hal.) Paris;Polytrichadelphus valenciae;6;;0;Am 4.;Venezuela, Colombia y Ecuador;Venezuela, Colombia y Ecuador.;;;;;;;;;;;;
Bryophyta;Polytrichopsida;;Polytrichales;Polytrichaceae;1;Polytrichastrum;tenellum;;;(Müll. Hal.) G. L. Sm;Polytrichastrum tenellum;6;;0;Am 4.;Buscar;Venezuela,  Colombia,  Ecuador,  Perú, Bolivia;;;;;;;;;;;;
Bryophyta;Polytrichopsida;;Polytrichales;Polytrichaceae;1;Polytrichum;brachymitrium;;;Müll. Hal.;Polytrichum brachymitrium;6;;1;Am 4.;Venezuela;;;;;;;;;;;;;
Bryophyta;Polytrichopsida;;Polytrichales;Polytrichaceae;1;Polytrichum;commune;;;Hedw.;Polytrichum commune;6;;0;Am 1, Am 2, Am 4, Am 5, Afr 1, Afr 2, Afr 4 As 1, As 2, As 5, Austr 1, Austr 2, Eur.;;;;;Terrestre, Saxícola;Talud # Roca ígnea;;;;;;;;Crece sobre faldas secas de rocas igneas y rocas de limonita
Bryophyta;Polytrichopsida;;Polytrichales;Polytrichaceae;1;Polytrichum;juniperinum;;;Hedw;Polytrichum juniperinum;6;;0;Cosm.;;Venezuela,  Colombia,  Perú,  Bolivia,  Ecuador,  Argentina;;;Terrestre;Suelo;;;;;;;;En Pittier como Polytrichum altisetum C. Müll y como Polytrichum aristiflorum  Mitt.
Bryophyta;Bryopsida;Dicranidae;Pottiales;Pottiaceae;1;Polytrichum;juniperinum;var. juniperinum;;;Polytrichum juniperinum var. juniperinum;8;;0;;;;;;;;;;;;;;;En Pittier 1936 Polytrichum antillarum Rich. In C. Müll. Syn.
Bryophyta;Bryopsida;Dicranidae;Pottiales;Pottiaceae;1;Steereobryon;subulirostrum;;;(Schimp. ex Besch.) G. L. Sm;Steereobryon subulirostrum;6;;0;Am 2, Am 3, Am 4.;;Venezuela,  Colombia,  Ecuador,  Bolivia;;;;;;;;;;;;
