division;clase;subclase;orden;familia;aceptado;genero;especie;Variedad;Subespecie;autor;nombre;Dir;;clasificacion;basionimo;endemica;zona_vdw;paises_andinotropicales;distribucion_mundial;ecorregion;ecosistema;habito;sustrato;Lista Roja mundial;CategoriaIUCN;CriterioIUCN;AutorCriterio;Revision;Revisor;FechaRevision;Comentarios
Bryophyta;Bryopsida;Bryidae;Bryales;Bryaceae;1;Acidodontium;heteroneuron;;;(Spruce ex Mitt.) Broth.;Acidodontium heteroneuron;Acidodontium_heteroneuron;;6;;0;Am 4.;Venezuela, Ecuador, Per£ y Bolivia;Bolivia y Ecuador;Andes;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Acroporium;esmeraldicum;;;(MÅll. Hal.) W. R. Buck;Acroporium esmeraldicum;Acroporium_esmeraldicum;;6;;0;Am 4.;Venezuela, Ecuador y Bolivia;"Venezuela, Bolivia,  Ecuador. Ecuador  High montane cloud forest and shrubby p†ramo and puna; epiphytic,  on trunks and branches of treelets and shrubs. Tropical Andes,  at elevations from 2930-3700 m Venezuela: 2930-3700 m,  Ecuador: ? m,  Bolivia: 3050-3440 m.";;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Acroporium;estrellae;;;(MÅll. Hal) W.R. Buck & SchÑlp;Acroporium estrellae;Acroporium_estrellae;;6;;0;Am 2, Am 3, Am 4, Am 5.;;Venezuela,  Colombia,  Ecuador,  Bolivia,  Per£;;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Acroporium;pungens;;;(Hedw.) Broth.;Acroporium pungens;Acroporium_pungens;;6;;0;Am 2, Am 3, Am 4, Am 5.;;Venezuela,  Colombia,  Ecuador,  Bolivia,  Per£;;;Ep°fito;Rama, Tronco;;;;;;;;En Pittier 1936 como Sematophyllum pungens (Hedw.) Mitt.
Bryophyta;Bryopsida;Bryidae;Hookeriales;Pilotrichaceae;1;Actinodontium;integrifolium;;;(Broth.) S. P: Churchill;Actinodontium integrifolium;Actinodontium_integrifolium;;6;;0;Am 3, Am 4.;;Colombia,  Surinam;;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hookeriales;Pilotrichaceae;1;Actinodontium;sprucei;;;(Mitt.) Jaeg.;Actinodontium sprucei;Actinodontium_sprucei;;6;;0;;;Colombia y Venezuela;;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hookeriales;Daltoniaceae;1;Adelothecium;bogotense;;;(Hampe) Mitt;Adelothecium bogotense;Adelothecium_bogotense;;6;;0;Am 2, Am 3, Am 4, Am 5, Afr 2.;;;;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Brachytheciaceae;1;Aerolindigia;capillacea;;;(Hornsch.) M. Menzel;Aerolindigia capillacea;Aerolindigia_capillacea;;6;;0;Am 2, Am 3, Am 4, Am 5, Am 6, Afr 2, Afr 3.;;;Andes, Cordillera de la Costa Central;;;;;;;;;;;En Pittier 1936 como Lindigia trichomitria MÅll. Hal.
Bryophyta;Bryopsida;Dicranidae;Pottiales;Pottiaceae;1;Aloinella;venezuelana;;;Griffin;Aloinella venezuelana;Aloinella_venezuelana;;6;;1;Am 4.;Venezuela;;;;;;Venezuela;EN;A3c;Le¢n et al. 2013b;;;;"(Holotype: FLAS; isotypes: MEXU, TENN)"
Bryophyta;Bryopsida;Bryidae;Hypnales;Amblystegiaceae;1;Amblystegium;varium;;;(Hedw.) Lindb.;Amblystegium varium;Amblystegium_varium;;6;;0;;;MÇxico, Belice, Guatemala, Colombia, Ecuador, Per£, Brasil, Bolivia, Argentina, Venezuela;Andes;;;;;;;;;;;
Bryophyta;Bryopsida;Dicranidae;Dicranales;Calymperaceae;1;Amphidium;tortuosum;;;(Hornsch.) Cufod;Amphidium tortuosum;Amphidium_tortuosum;;6;;0;;;AmÇrica del Sur,  µfrica;;;Terrestre, Sax°cola;Talud # Roca;;;;;;;;En Griffin III 1977c como Amphidium cyathicarpum (Mont.) Broth.
