nombre;estado;localidad;altitud_min;altitud_max;coleccion;FechaColeccion;herbario;latitud;longitud;cita_corta
Amblystegium varium;15;Parque Nacional Sierra La Culata Páramo de Mifafí ;550;3500;Potentini 102-04/02b, Potentini 102-04/03f, Potentini 102-04/05e, Potentini 102-04/06a, Potentini 98/8b, Potentini 98/13d, Potentini 98/23c;;MERC;;;Potentini 2008
Anacamptodon cubensis;1;;;;;;;;;Hedenäs 2003
Calliergonella cuspidata;15;Parque Nacional Sierra La Culata Páramo de Mifafí ;;;Potentini 102-02/07, Potentini 102-02/11b, Potentini 102-02/12d, Potentini 102-04/06b, Potentini 102-04/07d, Potentini 102-04/09e, Potentini 102-05/02a,  Potentini 102-05/04b,  Potentini 102-05/05a,  Potentini 102-05/06d, Potentini 98/1.2a, Potentini 98/1.4c, Potentini 98/1.5c, Potentini 98/3.1, Potentini 98/3.2, Potentini 98/18b, Potentini 98/22c,Potentini 98/ 28d;;MERC;;;Potentini 2008
Campylophyllum sommerfeltii;15;El Valle;;;D. Griffin III 636;;;;;Hedenäs 2003
Campylophyllum sommerfeltii;;Sin localidad;;;;;;;;Moreno 1990
Campylophyllum sommerfeltii;15;El Valle Grande ;;;D. Griffin III 636;;FLAS;;;Griffin III 1975
Campyliadelphus chrysophyllus;15;Parque Nacional Sierra La Culata Páramo de Mifafí ;;;Potentini 102-02/04b, Potentini 102-02/06a, Potentini 102-02/13a, Potentini 102-02/15c, Potentini 102-02/17b, Potentini 102-03/05c,  Potentini 102-03/08c, Potentini 102-04/06h, Potentini 102-04/09d, Potentini 102-04/13e), Potentini 102-05/03c, Potentini 102-05/06e, Potentini 98/1.2c,  Potentini 98/1.4d,  Potentini 98/1.5d,  Potentini 98/10a,  Potentini 98/11e,  Potentini 98/13a,  Potentini 98/14b,  Potentini 98/24c,  Potentini 98/27d,  Potentini 98/31d;;MERC;;;Potentini 2008
Campylium stellatum;15;Parque Nacional Sierra La Culata Páramo de Mifafí ;;;Potentini 102-02/05c, Potentini 102-02/12a, Potentini 102-02/17d, Potentini 102-02/18c, Potentini 102-03/03b, Potentini 102-03/05a, Potentini 102-03/07b, Potentini 102-04/07a, Potentini 98/6a, Potentini 98/18c, Potentini 98/31c;;MERC;;;Potentini 2008
Cratoneuron filicinum;15;Quebrada Gavidia, al sur de Muchuchíes, entre la peña La Virgen y el puente de El Potrerito;;;;;MO;08°41'N;070°55'W;Tropicos.org
Cratoneuron filicinum;;Sin localidad;;;;;;;;Churchill et al. 2000
