nombre;estado;localidad;altitud_min;altitud_max;coleccion;FechaColeccion;herbario;latitud;longitud;cita_corta
Syrrhopodon ligulatus;5;Canaima;400;;Mägdefrau, K. 528;1958-03-16;;;;
Syrrhopodon ligulatus;12;;;;;;;;;
Syrrhopodon lycopodiodes;1;Cerri de La Neblina, summit camp XII, 2 Km  SW of Pico Phepls, 17,5 Km ESE of base camp.;;;Buck, W. 13036;1985-02-26;VEN;;;Morales & García 2006
Syrrhopodon lycopodiodes;;Sin localidad;;;;;;;;Churchill et al. 2000
Syrrhopodon lycopodiodes;4;Rancho Grande;1400;;Mägdefrau, K. 317, 341;1958-02-24;VEN;;;Morales & García 2006
Syrrhopodon lycopodiodes;4;Parque Nacional Henri Pittier;1600;1900;Steyermark, J. 89832;1961-10-22;VEN;;;Morales & García 2006
Syrrhopodon lycopodiodes;5;Meseta de Jaua, Cerro Jáua;1922;2100;Steyermark, J. 98109;1967-03-22;VEN;;;Morales & García 2006
Syrrhopodon lycopodiodes;12;Sierra de San Luis, vencindad del Hotel Parador, al S de la Tabla;1450;;Steyermark, J. 98968;1967-07-16;VEN;;;Morales & García 2006
Syrrhopodon lycopodiodes;14;Arriba de Humocaro en Palojosco arriba de Los Aposentos;;;;;;;;
Syrrhopodon lycopodiodes;19;;;;;;;;;
Syrrhopodon lycopodiodes;21;Río Quinimarí, Quebrada las Copas, peñasco de las Copas;2500;2630;Steyermark, J., G.C.K. & Dunsterville 100660;1968-01-11;VEN;;;Morales & García 2006
Syrrhopodon lycopodiodes;22;;;;;;;;;
Syrrhopodon lycopodiodes;25;Entre San José de Los Altos y Topochalito;;;Griffin, D. 68;1975-07-07;VEN;;;Morales & García 2006
Syrrhopodon lycopodiodes;25;Sierra de Perijá, a lo largo de la trocha hacia Topochalito;2000;2400;Griffin, D. 225;1975-07-07;VEN;;;Morales & García 2006
Syrrhopodon lycopodiodes;15;Parque Nacional Sierra Nevada, 2 Km S of Mérida;2550;2650;Kelly, D., O`Donovan, G., Feehan, J. &  Drangeid, S. 11235, 10856-A;1966-08-01;VEN;;;Morales & García 2006
Syrrhopodon lycopodiodes;15;;;;Kelly, D., O`Donovan, G., Feehan, J. &  Drangeid, S. 10837-A;1995-08-02;VEN;;;Morales & García 2006
Syrrhopodon lycopodiodes;15;;;;Kelly, D., O`Donovan, G., Feehan, J. &  Drangeid, S. 11240;1995-08-08;VEN;;;Morales & García 2006
Syrrhopodon lycopodiodes;15;;;;Moritz 191;;;;;Pittier 1936
Syrrhopodon lycopodiodes;20;Península de Paria. Cerro Humo, entre Roma y Santa Isabel;1273;;Steyermark, J. 94926, 94941;1966-03-02;VEN;;;Morales & García 2006
Syrrhopodon lycopodiodes;20;Península de Paria. Cerro Humo, entre Roma y Santa Isabel;1273;;Steyermark, J. 96355;1966-08-11;VEN;;;Morales & García 2006
Syrrhopodon lycopodiodes;20;Península de Paria. Cerro Humo, entre la cumbre y Cerro la Pavita;1250;1273;Steyermark, J. 95040;1966-03-04;VEN;;;Morales & García 2006
Syrrhopodon parasiticus;3;;;;;;;;;
Syrrhopodon parasiticus;;Sin localidad;;;;;;;;Churchill et al. 2000
Syrrhopodon parasiticus;17;;;;;;;;;
Syrrhopodon parasiticus;1;Cerro de La Neblina, 15,5 Km al NNE del Pico Phelps;770;;Buck, W. 11592;;VEN;;;Morales & García 2006
Syrrhopodon parasiticus;1;Río Mawarinuma. Caño Grande, campamento La Neblina;140;;Buck, W. 11254;1984-02-01;VEN;;;Morales & García 2006
Syrrhopodon parasiticus;10;;;;;;;;;
Syrrhopodon parasiticus;20;;;;;;;;;
Syrrhopodon parasiticus var. parasiticus;1;;;;;;;;;
Syrrhopodon parasiticus var. parasiticus;5;;;;;;;;;
Syrrhopodon parasiticus var. parasiticus;17;;;;;;MO;"10°12'00""N";"063°29'00""W";Tropicos.org
Syrrhopodon perangustifolius;12;;;;;;;;;
Syrrhopodon prolifer;5;Ptari-tepui;;;;;;;;
Syrrhopodon prolifer;5;Cerro Roraima;2750;2800;Steyermark, J., Brewer, Ch., G.C.K. & E. Dunsterville 112530;1976-08-26;;;;
Syrrhopodon prolifer;5;Vencindades de Matacuchillo. Santa Elena de Uairen;920;;Steyermark, J., Brewer, Ch., G.C.K. & E. Dunsterville 112256;1976-08-23;;;;
Syrrhopodon prolifer;7;Río San Gián. Al E de los Tanques, al S de Borburata;750;1100;Steyermark, J. & Steyermark, C. 95386;1966-03-31;;;;
Syrrhopodon prolifer;1;Caño Manteco;50;;Bermúdez, I. PA-00477A, PA-00477B;1977-02-27;VEN;;;Morales & García 2006
Syrrhopodon prolifer;1;Río Mawarinuma. Cañon Grande, camp. Base La Neblina;140;;Buck, W. 11332, 10993, 10857;1984-02-01;VEN;;;Morales & García 2006
Syrrhopodon prolifer;4;Rancho Grande;1300;;Mägdefrau, K. 367;1958-02-24;VEN;;;Morales & García 2006
Syrrhopodon prolifer;4;Parque Nacional Henri, Río Grande del Medio, entre la Fila Alta de Choroní y la Quebrada Río Hondo;100;1500;Steyermark, J. & Carreño, V. 105806;1972-04-29;VEN;;;Morales & García 2006
Syrrhopodon prolifer;14;Entre Santo Domingo y Los Quebraditos;;;;;MO;"09°39'00""N";"069°36'00""W";Tropicos.org
Syrrhopodon prolifer;15;Arriba de La Azulita, cerca de Canaguá;;;;;;;;
Syrrhopodon prolifer;15;Sierra Nevada de Mérida, entre la Aguada y la Montaña;2400;;Griffin, D., López, M. & Ruiz, I. 017454;1972-07-01;VEN;;;Morales & García 2006
Syrrhopodon prolifer;15;Río Canaguá, SW of Canaguá;1950;1980;Steyermark, J. 120093;1944-05-09;VEN;;;Morales & García 2006
Syrrhopodon prolifer;15;Ingenería Forestal;2760;;Vareschi, V. 675;1952-04-22;VEN;;;Morales & García 2006
Syrrhopodon prolifer;16;"Cerros del Bachiller, near east end, above Quebrada Corozal, south of Santa Cruz; 10 Km W of Cúpira";600;700;Steyermark & Davidse 116708;1978-03-26;MO;"10°09'00""N";"065°48'00""W";Tropicos.org
Syrrhopodon prolifer;20;Península de Paria: Centro de Humo, arriba de Sipara, oeste de Santa Isabel, alrededor de 14Km;1060;1273;Steyermark 94985;1966-03-03;MO, VEN;"10°35'00""N";"062°36'00""W";Tropicos.org
Syrrhopodon prolifer;20;Península de Paria: Centro de Humo, arriba de Sipara, oeste de Santa Isabel, alrededor de 14Km;1060;1273;Steyermark 94985;1966-03-03;MO, VEN;"10°38'00""N";"062°58'00""W";Tropicos.org
