nombre;estado;localidad;altitud_min;altitud_max;coleccion;FechaColeccion;herbario;latitud;longitud;cita_corta
Didymodon moritzianus;15;;;;;;;;;Pursell 1973
Didymodon moritzianus;;Sin localidad;;;;;;;;Churchill et al. 2000
Didymodon moritzianus;;Sin localidad ;;;;;;;;Pittier 1936
Didymodon paramicola;15;Region of Mucubají and El Águila, Espeletia zone, wet Páramo;3750;;Steyermark & Cronquist 106301 ;;NY;;;
Didymodon paramicola;;Sin localidad;;;;;;;;Churchill et al. 2000
Didymodon paramicola;15;Sierra Nevada de Mérida, cerca de la Laguna de los Anteojos, en suelo humedo;3800;;Griffin, Lopez & Ruiz-Teran 472 ;;FLAS;;;Tropicos.org (ANBRY)
Didymodon paramicola;15;Parque Nacional Sierra Nevada, region of Mucubají and El Águila;3750;;Cronquist, A. & Cronquist, M. 106301;1972-07-27;VEN;;;Morales & García 2006
Didymodon rigidulus;4;Carretera Maracay-Ocumare;;;;;;;;
Didymodon rigidulus;4;Parque Nacional Henry Pittier;;;;;;;;
Didymodon rigidulus;10;;;;;;;;;
Didymodon rigidulus;24;;;;;;;;;
Didymodon rigidulus;16;San Antonio de los Altos;;;;;;;;
Didymodon rigidulus var. rigidulus;;Sin localidad;;;;;;;;Churchill et al. 2000
Didymodon rigidulus var. rigidulus;;;;;;;;;;Tropicos.org (ANBRY)
Didymodon rigidulus var. gracilis;;Sin localidad;;;;;;;;
Didymodon rigidulus var. gracilis;;Sin localidad;;;;;;;;Churchill et al. 2000
Didymodon rigidulus var. icmadophilus;4;Via hacia la Medicatura, Colonia Tovar;;;;;;;;
Didymodon rigidulus var. icmadophilus;;Sin localidad;;;;;;;;Churchill et al. 2000
Didymodon taylorii;10;Pico El Ávila ;;;;;;;;
Didymodon taylorii;;Sin localidad;;;;;;;;Churchill et al. 2000
Didymodon taylorii;15;Parque Nacional Sierra Nevada;;;;;;;;
Didymodon umbrosus;15;;;;;;;;;
Didymodon umbrosus;;Sin localidad;;;;;;;;Churchill et al. 2000
Didymodon umbrosus;22;Páramo El Jabón, al SE y arriba de Carache ;;;;;;09°34'N;070°07'W;
Didymodon vinealis;;Sin localidad;;;;;;;;
Didymodon vinealis;;Sin localidad;;;;;;;;Churchill et al. 2000
Dolotortula mniifolia;17;;;;;;;;;
Dolotortula mniifolia;;Sin localidad;;;;;;;;Churchill et al. 2000
Dolotortula mniifolia;20;;;;;;;;;
Dolotortula mniifolia;5;;;;;;;;;
Gymnostomiella vernicosa;14;cerca de Baquisimeto por arriba del Parque Nacional Terepaima en Loma Redonda;;;;;;;;
Gymnostomiella vernicosa;;Sin localidad;;;;;;;;Churchill et al. 2000
Gymnostomum aeruginosum;4;;;;;;;;;
Gymnostomum aeruginosum;;Sin localidad;;;;;;;;Churchill et al. 2000
Gymnostomum aeruginosum;20;;;;;;;;;
Gymnostomum calcareum;20;A lo largo del Río Guagua, suroeste de Cumanacoa, entre Granja Agricola de MinisteRío de Agricultura y Cria ;;;;;;;;Bartram 1975
Gymnostomum calcareum;20;Cueva El Pamatal, suroeste de Cuchivano;;;;;;;;
Gymnostomum venezuelense;;Sin localidad;;;Fendler 5;;;;;Pittier 1936 
Hymenostylium recurvirostrum;2;A lo largo del Río zumpador, Cerro Los pajaritos;;;;;;;;
Hymenostylium recurvirostrum;15;Quebrada Gavidia, al sur de Mucuchíes, entre la peña La Virgen y el puente de El Potrerito, ca. del pueblo de Gavidia ;;;;;;08°38'N;070°58'W;
Hymenostylium recurvirostrum;5;;;;;;;;;
Hymenostylium recurvirostrum;17;Cerro La cueva de Doña Anita;;;;;;;;
Hymenostylium recurvirostrum;2;Along Río Zumbador and Tributary, near base of Piedra Blanca, NE of Bergatín;800;1000;61280;1945-03-01;VEN;;;Morales & García 2006
Hymenostylium recurvirostrum;2;Fila Grande, Quebrada La Tigra, Cerro San José, between Bergatin and Cerro Peonía ( Cerro Los Pajaritos);1800;1850;Steyermark, J. 61550;1945-03-19;VEN;;;Morales & García 2006
Hymenostylium recurvirostrum;17;Cerro de La Cueva de Doña Anita, S of and bordering valley of Caripe;1300;;Steyermark, J. 61928;1945-04-07;VEN;;;Morales & García 2006
Hymenostylium recurvirostrum;15;Parque Nacional Sierra Nevada. Región Laguna de Mucubají y el Águila;3750;;Steyermark, J., Arthur & Cronquist, M. 106302, 106299;1972-06-27;VEN;;;Morales & García 2006
Hymenostylium recurvirostrum var. recurvirostre;;Sin localidad;;;;;;;;Churchill et al. 2000
Hyophila involuta;2;A lo largo del Río Zumbador y Afluente, cerca de Piebra Blanca, noreste de Bergantín;;;;;;;;
Hyophila involuta;;Sin localidad;;;;;;;;Churchill et al. 2000
Hyophila involuta;4;;;;;;;;;
Hyophila involuta;7;;;;;;;;;
Hyophila involuta;10;El Ávila;;;;;;;;
Hyophila involuta;16;La Providencia, cabeceras de la Quebrada de Maitana ;;;;;;;;
Hyophila involuta;17;A lo largo de Quebrada Colorado Grande, laderas cubiertas de bosques de montaña en la propiedad de Juan Morocoima, suroeste de Caripe;;;;;;;;
Hyophila involuta;19;Ospino en los muros de la iglesia ;;;Pittier 12080;;;;;Pittier 1936
Hyophila involuta;20;A lo largo de la Quebrada y Aguas Termales en La Toma;;;;;;;;
Hyophila involuta;20;Sureste de Cumaná, entre San Juany Cumaná;;;;;;;;
Hyophila involuta;23;Hacienda Iboa, cerca de Guama;;; Pitt. 11144, 11168, 11209;;;;;Pittier 1936
Hyophila involuta;12;;;;;;;;;
Hyophila involuta;2;Río Zumbador and tributary, near base of Piedra Blanca, NE of Bergatín;800;1000;Steyermark, J. 61286;1945-03-01;VEN;;;Morales & García 2006
Hyophila involuta;4;Parque Nacional Henri Pittier. Rancho Grande;1800;;Cárdenas, L., Lobo, M. & Guevara, R. 2334;1976-07-03;VEN;;;Morales & García 2006
Hyophila involuta;4;Parque Nacional Henri Pittier. Rancho Grande;1140;;Mägdefrau, K. 451;1958-02-27;VEN;;;Morales & García 2006
Hyophila involuta;7;Entre los Tanques y la Toma, Río San Gián, arriba de la plnata eléctrica, al S de Borburata;750;;Steyermark, J. & Steyermark, C. 95475;1966-03-27;VEN;;;Morales & García 2006
Hyophila involuta;10;Cerro Naiguatá, pueblo Naiguatá;900;;Steyermark, J. 92051;1963-11-19;VEN;;;Morales & García 2006
Hyophila involuta;10;Cerro Naiguatá, Quebrada Basenilla, 60 Km SE de los tanques de la electricidad de Caracas;900;1000;Steyermark, J. 91915;1963-11-03;VEN;;;Morales & García 2006
Hyophila involuta;17;Along Quebrada Colorado Grande, SW of Caripe;850;1350;Steyermark, J. 61945;1945-04-09;VEN;;;Morales & García 2006
Hyophila involuta;19;Río María, Boca de Monte;400;;Steyermark, J., Liesner, R. & Aymard, G. 127189;1982-11-03;VEN;;;Morales & García 2006
Hyophila involuta;20;Quebrada Zurita, Paso Hondo, al S del Limónal y Santa Fé;40;;Steyermark, J., Carreño, V. & Manara, B. 107821;1973-08-18;VEN;;;Morales & García 2006
Hyophila involuta;25;Sierra de Perijá, Río Yasa;500;600;Steyermark, J. & Fernández, J. 99745;1967-08-26;VEN;;;Morales & García 2006
