titulo;colacion;autor;anyo;revista;tipo;cita_corta;
A Revision of the Genus Leucomium (Leucomiaceae);45: 661-677;Allen, B;1987;Mem. New York Bot. Gard.;Revisión;Allen 1987;
A New Species of Thamnobryum (Musci: Neckeraceae) from Venezuela, with a Key to the Neotropical Species of Thamnobryum;Vol. 12, No. 2 (Summer, 2002): 155-158;Allen, B. & Churchill, S. P;2002;Novon;Nuevos reportes;Allen & Churchill 2002;
Revision of the Genus Squamidium (Musci: Meteoriaceae) ;61: 423-476;Allen, B. & Crosby, M;1986;Journ. Hattori Bot. Lab;Revisión;Allen & Crosby 1986;
A revision of Pilotrichella (Lembophyllaceae: Musci);XXIV 43-83;Allen, B. & Magill, R. E;2003;Acta Acd. Paed. Agriensis, Sectio Biologiae;Revisión;Allen & Magill 2003;
Contributions to the Flora of Venezuela;28: 695-718;Bartram, E. B;1957;Fieldiana Botany;Nuevos reportes;Bartram 1957;
Reports on two botanical collections made by Messrs, F. V. McConnell & J. J. Quelch at Mount Roraima in British Guiana;ser. 2, 6: 1-107 ;Brotherus, V. F;1901;Trans. Linn. Soc. London;Nuevos reportes;Brotherus 1901;
A Synopsis of the South American Taxa of Fabronia (Fabroniaceae);Vol. 35, No. 3 (Jul. - Sep., 1983), pp. 248-254;Buck, W;1983;Brittonia;Revisión;Buck 1983;
Contributions to the Moss Flora of Guyana;64: 184-196;Buck, W;1990;Mem. New York Bot. Gard.;Nuevos reportes;Buck 1990;
Notes on Guayana Mosses with New Information on Sphagnum Ornatum;Vol. 45, No. 1 (Jan. - Mar., 1993):17-20;Buck, W;1993;Brittonia;Nuevos reportes;Buck & Crum 1993;
A Checklist of the mosses of the tropical andean countries;17. 203 pp;Churchill, S., Griffin, D. & Muñoz, J;2000;Ruizia;Revisión;Churchill et al. 2000;
A Checklist of plant diversity, geographical distribution and botanical literature;84: 53-64;Churchill, S. & Griffin III, D;1999;Mem. New York Bot. Gard.;Revisión;Churchill & Griffin III 1999;
A Revision of the Tropical American Moss Genus Pilotrichum;Vol. 72, No. 3 , pp. 275-343;Crosby, M. R;1969;Bryologist;Revisión;Crosby 1969;
A Review of the Moss genus Hypnella;88: 121-129;Crosby, M. R., Allen, B. & Magill, R.;1985;Bryologist;Revisión;Crosby et al. 1985;
Comments on Sphagnum capillaceum;11(2): 89-93;Crum, H. A;1975;Contr. Univ. Mich. Herb.;;Crum 1975;
New species of Sphagnum from South America;74: 145-154;Crum, H. A;1993;J. Hattori Bot. Lab.;Nuevos reportes;Crum 1993;
Miscellaneous notes on Sphagnum-12;12: 441-445;Crum, H. A;2002;Novon;;Crum 2002;
LATMOSS. A catalogue of neotropical mosses;56: 1–191;Delgadillo, C., Bello, B. & Cárdenas, A;1995;Monographs in Systematic Botany from the Missouri Botanical Garden ;Revisión;Delgadillo et al. 1995;
Taxonomic and nomenclatural observations on the Funariaceae. 4. A review of Entosthodon laxus with incidental notes on E. obtusifolius;89: 302–309;Fife, A. J;1986;Bryologist;Revisión;Fife 1986;
Monograph of the genus Anacolia;79: 161-183;Flowers, S;1952;Bulletin of the Torrey Botanical Club;Revisión;Flowers 1952;
Dicranaceae: Campylopodioideae, Paraleucobryoideae;Vol. 54: 1-237;Frahm, J. P;1991;Flora Neotropica;Revisión;Frahm 1991;
A taxonomic revision of Neotropical Bartramia Hedw. section Vaginella C.Müll;20: 147-179.;Fransén, S;1996;Lindbergia;Revisión;Fransén 1996;
Additions to the moss flora of Venezuela from the state of Mérida;Vol.25 Nº3: 107:112;Griffin III, D., López, F. M. & Ruíz T., L;1973;Phytologia;Nuevos reportes;Griffin III et al. 1973;
Additions to the moss flora of Venezuela;78: 212-215;Griffin III, D;1975;Bryologist;Nuevos reportes;Griffin III 1975;
Bryophytes of the Sierra de Perijá, Venezuela;Vol 23, p.62;Griffin III, D;1976;ASB Bulletin;Listado;Griffin III 1976;
Leiomela lopezii sp. Nov. con observaciones sobre unas gimnostomas del género;43: 383-387;Griffin III, D;1977;Cryptogamie, Bryol. Lichénol;Nuevos reportes;Griffin III 1977a;
Un informe sobre la briologia del Estado Zulia;12: 285-292;Griffin III, D;1977;Acta Bot. Venez.;Revisión;Griffin III 1977b;
Mas adiciones a la flora musgueña de Venezuela;80: 181-184;Griffin III, D;1977;Bryologist;Nuevos reportes;Griffin III 1977c;
New Records for Moss Flora of Venezuela;82(4), 1979 pp. 618-619;Griffin III, D;1979;Bryologist;Nuevos reportes;Griffin III 1979;
A comparison of Breutelia subarcuata (C. Muell.) Schimp. in Besch. and B. chrysea (C. Muell.) Jaeg. in Latin America;87: 233–237;Griffin III, D;1984;Bryologist ;Revisión;Griffin III 1984a;
Studies on Colombian cryptogams XXII: The Breutelia subarcuata complex in Colombia and neighboring areas;33: 275–282;Griffin III, D;1984;Acta Bot. Neerl;Nuevos reportes;Griffin III 1984b;
A New Hookeriopsis from the páramos of Venezuela;14: 297-299;Griffin III, D;1986;J. Bryol. ;Nuevos reportes;Griffin III 1986a;
Oreoweisia (Dicranaceae, Musci) in tropical America: an annotated key to species;7(4): 433-438;Griffin III, D;1986;Cyptogamie, Bryol. Lichénol;Nuevos reportes;Griffin III 1986b;
