sinonimo;autor;aceptado2;aceptado;;
Amblystegium riparium;(Hedw.) B.S.G.;Leptodictyum riparium (Hedw.) Warnst.;Leptodictyum riparium;;
Calliergon trifarium;(Web & Mohr) Kindl.;Pseudocalliergon trifarium (F. Weber & D. Mohr) Loeske;Pseudocalliergon trifarium;;
Campyliadelphus chrysophyllus;(Brid.) R.S. Chopra;Campyliadelphus chrysophyllus (Brid.) Lange;Campyliadelphus chrysophyllus;;
Campylium stellatum;(Hedw.) C. E. O. Jensen;Campyliadelphus stellatus (Hedw.) Kanda;Campyliadelphus stellatus;;
Campylium hispidulum;(Brid.) Hedenäs;Campylophyllum sommerfeltii (Myrin) Hedenäs;Campylophyllum sommerfeltii;;
Drepanocladus exannulatus;(Schimp.) Warnst. ;Warnstorfia exannulata (Schimp.) Loeske;Warnstorfia exannulata;;
Hygroamblystegium meridense;E. B. Bartram ;Cratoneuron filicinum (Hedw.) Spruce;Cratoneuron filicinum;;
Hygrohypnum reduncum;(Mitt.) N. Nishim ;Mittenothamnium reduncum (Schimp. ex Mitt.) Ochyra;Mittenothamnium reduncum;;
Sarmentypnum sarmentosum;(Wahlenb.) Tuom. & T.J. Kop.;Warnstorfia sarmentosa (Wahlenb.) Hedenäs;Warnstorfia sarmentosa;;
Aulacomnium venezuelanum;Mitt.;Aulacomnium palustre (Hedw.) Schwägr.;Aulacomnium palustre;;
Bartramia integrifolia;(Taylor) A. Jaeger;Breutelia integrifolia (Taylor) A. Jaeger;Breutelia integrifolia;;
Bartramia flavicans;Mitt.;Bartramia brevifolia Brid.;Bartramia brevifolia;;
Bartramia secunda;Dozy & Molk.;Philonotis mollis (Dozy & Molk.) Mitt.;Philonotis mollis;;
Bartramia tomentosa;(Sw. ex Brid.) Brid.;Breutelia tomentosa (Sw. ex Brid.) A. Jaeger;Breutelia tomentosa;;
Conostomum jamesonii ;(Taylor) Steere ;Bartramia humilis Mitt.;Bartramia humilis;;
Bartramidula fendleri ;(Müll. Hal.) Paris ;Philonotis fendleri (Müll. Hal.) D.G. Griffin & W.R. Buck;Philonotis fendleri;;
Philonotis nana ;(Müll. Hal.) D.G. Griffin & W.R. Buck;Bartramidula nana (Müll. Hal.) Paris ;Bartramidula nana;;
Philonotis crassinervia  ;Broth y Paris ;Philonotis uncinata (Schwaegr.) Brid.;Philonotis uncinata;;
Philonotis elegantula subsp. moritziana ;(Hampe) Dism.;Philonotis moritziana (Hampe) A. Jaeger;Philonotis moritziana;;
Philonotis radicalis ;Brid.  ;Philonotis longiseta (Michx.) E. Britton;Philonotis longiseta;;
Philonotis revoluta ;Bosch & Sande Lac;Philonotis thwaitesii Mitt.;Philonotis thwaitesii;;
Philonotis tenella ;(Brid.) A. Jaeger;Philonotis glaucescens (Hornsch.) Broth.;Philonotis glaucescens;;
Brachythecium stereopoma ;(Spruce ex Mitt.) A. Jaeger, Ber. Thätigk;Brachythecium ruderale (Brid.) Buck;Brachythecium ruderale;;
Eurhynchium riparioides ;(Hedw.) P.W. Richards ;Platyhypnidium riparioides (Hedw.) Dixon;Platyhypnidium riparioides;;
Homalothecium leskeoides ;(Hook.) Robins.;Palamocladium leskeoides (Hook.) E. Britton;Palamocladium leskeoides;;
Oxyrrhynchium clinocarpum ;(Taylor) Broth. ;Eurhynchium clinocarpum (Taylor) Paris;Eurhynchium clinocarpum;;
Palamocladium bonplandii ;Broth. ;Palamocladium leskeoides (Hook.) E. Britton;Palamocladium leskeoides;;
Pleuropus bonplandii ;(Hook.) Broth;Palamocladium leskeoides (Hook.) E. Britton;Palamocladium leskeoides;;
Rhynchostegium argute-serratum ;Bartr.;Steerecleus argute-serratus (E.B. Bartram) H. Rob.;Steerecleus argute-serratus;;
Rhynchostegium scariosum ;(Taylor) A. Jaeger;Steerecleus scariosus (Taylor) H. Rob.;Steerecleus scariosus;;
Rhynchostegium serrulatum;(Taylor) A. Jaeger ;Steerecleus serrulatus (Hedw.) H. Rob.;Steerecleus serrulatus;;
Stokesiella praelonga;(Hedw.) Robins;Eurhynchium praelongum (Hedw.) Schimp.;Eurhynchium praelongum;;
Anomobryum filiforme;(Dicks.) Husn.;Anomobryum julaceum (Schrad. ex P. Gaertn., B. Mey. & Scherb.) Schimp.;Anomobryum julaceum;;
Brachymenium globosum ;Jaeg.;Brachymenium columbicum (De Not.) Broth.;Brachymenium columbicum;;
Brachymenium smaragdinum ;(Müll. Hal.) A. Jaeger ;Brachymenium exile (Dozy & Molk.) Bosch & Sande Lac.;Brachymenium exile;;
Bryum andicola ;Hook;Rosulabryum billarderi (Schwägr.) J.R. Spence;Rosulabryum billarderi;;
Bryum angustirete var. compactum ;(Hornsch.) Wijk & Margad. ;Bryum algovicum Sendtn ex Müll.;Bryum algovicum;;
Rhodobryum aubertii ;(Schwägr.) Thér. ;Bryum aubertii (Schwägr.) Thér.;Bryum aubertii;;
Bryum biforme ;R.S Williams;Bryum lepto-torquescens Müll. Hal. ex Broth.;Bryum lepto-torquescens;;
Bryum capillare ;Hedw.;Rosulabryum capillare (Hedw.) J.R. Spence;Rosulabryum capillare;;
Bryum chrysoblastum; C. Müll.;Bryum subapiculatum Hampe;Bryum subapiculatum;;
Bryum congestum ;Mitt.;Bryum caespiticium Hedw.;Bryum caespiticium;;
Anomobryum conicum ;(Hornsch.) Broth. ;Bryum conicum Hornsch.;Bryum conicum;;
Bryum fendleri ;C. Müll;Bryum radiculosum Brid.;Bryum radiculosum;;
Bryum flexisetum; Mitt;Bryum pallescens Schleich. ex Schwägr.;Bryum pallescens;;
Bryum genucaule ;C. Müll;Rosulabryum billarderi (Schwägr.) J.R. Spence;Rosulabryum billarderi;;
