Imagen;Descripcion;Autor;Coleccion
Plaluc001;;Ussher 2003;Ussher et al. 9903-75 (MERC)
Plaluc002;;Ussher 2003;Ussher et al. 9903-75 (MERC)
Plaluc003;;Ussher 2003;Ussher et al. 9903-75 (MERC)
Plaluc004;;Ussher 2003;Ussher et al. 9903-75 (MERC)
Plaluc005;;Ussher 2003;Ussher et al. 9903-75 (MERC)
Plaluc006;;Ussher 2003;Ussher et al. 9903-75 (MERC)
Plaluc007;;Ussher 2003;Ussher et al. 9903-75 (MERC)
Plaluc008;;Ussher 2003;Ussher et al. 9903-75 (MERC)
Plaluc009;;Ussher 2003;Ussher et al. 9903-75 (MERC)
Plaluc010;Habito;Ussher 2003;Ussher et al. 9903-75 (MERC)
Plaluc011;Habito;Ussher 2003;Ussher et al. 9903-75 (MERC)
Plaluc012;Habito;Ussher 2003;Ussher et al. 9903-75 (MERC)
Plaluc013;"Plagiothecium lucidum  (Hook.f. & Wilson) Paris  a. Hábito; b. Hoja; c. Costa y células de la inserción de la lámina; d. Rama; e. Esporofitos.";Ussher 2003;Ussher et al. 9903-75 (MERC)
