Imagen;Descripción;Autor;Colección
Atroer001;Zona apical del filidio;Ussher 2003;Ussher et al. 9902-49 (MERC)
Atroer002;Zona basal del filidio;Ussher 2003;Ussher et al. 9902-49 (MERC)
Atroer003;Costa y margen del filidio;Ussher 2003;Ussher et al. 9902-49 (MERC)
Atroer004;Lamelas sobre la costa;Ussher 2003;Ussher et al. 9902-49 (MERC)
Atroer005;Células mediales del filidio;Ussher 2003;Ussher et al. 9902-49 (MERC)
Atroer006;Hábito;Ussher 2003;Ussher et al. 9902-49 (MERC)
Atroer007;Corte transversal del filidio, lamelas en la costa (detalle);Ussher 2003;Ussher et al. 9902-49 (MERC)
Atroer008;Corte transversal del filidio, lamelas en la costa;Ussher 2003;Ussher et al. 9902-49 (MERC)
Atroer009;Corte transversal del filidio;Ussher 2003;Ussher et al. 9902-49 (MERC)
Atroer010;Corte transversal del filidio;Ussher 2003;Ussher et al. 9902-49 (MERC)
Atroer011;Corte transversal del filidio, lamelas en la costa (detalle);Ussher 2003;Ussher et al. 9902-49 (MERC)
Atroer012;Zona medial del filidio;Ussher 2003;Ussher et al. 9902-49 (MERC)
Atroer013;"Atrichum oerstedianum (Müll. Hal.) Mitt  a. Hábito; b. Lámina limbada y doble dentada; c. Corte transversal del filidio; d. Zona apical del filidio; e. Zona basal del filidio; f. Zona medial del filidio; g. Corte transversal del filidio, lamelas sobre la costa; h. Lamelas sobre la costa, cara ventral de la lámina; i. Células mediales de la lámina";Ussher 2003;Ussher et al. 9902-49 (MERC)
