Imagen;Descripción;Autor;Colección
Pogsem001;Zona apical de la lámina;Ussher 2003;Ussher et al. 9903-98 (MERC)
Pogsem002;Zona medial de la lámina;Ussher 2003;Ussher et al. 9903-98 (MERC)
Pogsem003;Zona basal de la lámina;Ussher 2003;Ussher et al. 9903-98 (MERC)
Pogsem004;Margen el filidio;Ussher 2003;Ussher et al. 9903-98 (MERC)
Pogsem005;Lamelas, cara ventral de la lámina;Ussher 2003;Ussher et al. 9903-98 (MERC)
Pogsem006;Corte transversal del filidio;Ussher 2003;Ussher et al. 9903-98 (MERC)
Pogsem007;Corte transversal del filidio;Ussher 2003;Ussher et al. 9903-98 (MERC)
Pogsem008;Corte transversal del filidio;Ussher 2003;Ussher et al. 9903-98 (MERC)
Pogsem009;Lamelas;Ussher 2003;Ussher et al. 9903-98 (MERC)
Pogsem010;Esporofito;Ussher 2003;Ussher et al. 9903-98 (MERC)
Pogsem011;Esporofito;Ussher 2003;Ussher et al. 9903-98 (MERC)
Pogsem012;"Pogonatum semipellucidum (Hampe) Mitt.  a. Esporofito; b. Zona apical del filidio; c. Zona medial del filidio; d. Zona basal del filidio; e. Corte transversal del filidio; f. Lamelas; g. Células laterales apicales, lámina elimbada y unidentada; h. Lamelas, cara ventral de la lámina";Ussher 2003;Ussher et al. 9903-98 (MERC)
