Imagen;Descripcion;Autor;Coleccion
Pollon001;Esporofito, peristoma artrodonto y epifragma;Ussher 2003;Ussher & Aguirre 9904-117 (MERC)
Pollon002;Esporofito, vista lateral;Ussher 2003;Ussher & Aguirre 9904-117 (MERC)
Pollon003;Rama;Ussher 2003;Ussher & Aguirre 9904-117 (MERC)
Pollon004;Zona basal del filidio;Ussher 2003;Ussher & Aguirre 9904-117 (MERC)
Pollon005;Limbo;Ussher 2003;Ussher & Aguirre 9904-117 (MERC)
Pollon006;Ápice de la lámina;Ussher 2003;Ussher & Aguirre 9904-117 (MERC)
Pollon007;Vaina y limbo;Ussher 2003;Ussher & Aguirre 9904-117 (MERC)
Pollon008;Cortes transversales del limbo del filidio;Ussher 2003;Ussher & Aguirre 9904-117 (MERC)
Pollon009;Lamelas en corte transversal;Ussher 2003;Ussher & Aguirre 9904-117 (MERC)
Pollon010;Corte transversal, lamelas dispuestas sobre toda la superficie del filidio;Ussher 2003;Ussher & Aguirre 9904-117 (MERC)
Pollon011;Lamelas en corte transversal;Ussher 2003;Ussher & Aguirre 9904-117 (MERC)
Pollon012;"Pohlia elongata Hedw.  a. Rama; b. Filidios; c. Zona apical del filidio;  d. Zona basal del filidio; e. Células mediales de la lámina y costa";Ussher 2003;Ussher & Aguirre 9904-117 (MERC)
Pollon013;"Polytrichadelphus longisetus (Brid.) Mitt.  a. Cortes transversales del limbo del filidio; b.  Lamelas en corte transversal; c. Corte transversal, célula apical de las lamelas piriforme; d. Corte transversal, lamelas dispuestas sobre toda la superficie de la lámina";Ussher 2003;Ussher & Aguirre 9904-117 (MERC)
