Imagen;Descripción;Autor;Colección
Semery001;Ramas y setas;Ussher 2003;Ussher et al. 9903-70 (MERC)
Semery002;Esporofito y gametofito;Ussher 2003;Ussher et al. 9903-70 (MERC)
Semery003;Esporofito, peristoma doble;Ussher 2003;Ussher et al. 9903-70 (MERC)
Semery004;Esporofito, peristoma doble;Ussher 2003;Ussher et al. 9903-70 (MERC)
Semery005;Araña;Ussher 2003;Ussher et al. 9903-70 (MERC)
Semery006;Rama;Ussher 2003;Ussher et al. 9903-70 (MERC)
Semery007;Filidios;Ussher 2003;Ussher et al. 9903-70 (MERC)
Semery008;Zona apical del filidio;Ussher 2003;Ussher et al. 9903-70 (MERC)
Semery009;Zona basal del filidio;Ussher 2003;Ussher et al. 9903-70 (MERC)
Semery010;Esporofito;Ussher 2003;Ussher et al. 9903-70 (MERC)
Semery011;Peristoma;Ussher 2003;Ussher et al. 9903-70 (MERC)
Semery012;Dientes del peristoma (doble);Ussher 2003;Ussher et al. 9903-70 (MERC)
Semery013;Exostoma y endostoma;Ussher 2003;Ussher et al. 9903-70 (MERC)
Semery014;"Sematophyllum erythropodium Mitt.  a. Hábito; b. Ramas y setas; c. Esporofito, peristoma doble; d. Gametofito y esporofito; e. Araña";Ussher 2003;Ussher et al. 9903-70 (MERC)
Semery015;"Sematophyllum erythropodium  Mitt.  a. Rama; b. Zona apical del filidio; c. Esporofito; d. Peristoma doble; e. Filidios; f. Zona basal del filidio, células alares; g. Exostoma y endostoma; h. Células de la zona apical de la urna y peristoma; i. Forma de la cápsula";Ussher 2003;Ussher et al. 9903-70 (MERC)
