Imagen;Descripcion;Autor;Coleccion
Sphmag001;Hábito;Ussher 2003;Ussher & Perdomo 0008-283 (MERC)
Sphmag002;Hábito;Ussher 2003;Ussher & Perdomo 0008-283 (MERC)
Sphmag003;Ápices de las ramas;Ussher 2003;Ussher & Perdomo 0008-283 (MERC)
Sphmag004;Células corticales de las ramas con fibrillas;Ussher 2003;Ussher & Perdomo 0008-283 (MERC)
Sphmag005;Células corticales de las ramas con fibrillas;Ussher 2003;Ussher & Perdomo 0008-283 (MERC)
Sphmag006;Filidio de la rama;Ussher 2003;Ussher & Perdomo 0008-283 (MERC)
Sphmag007;Zona apical del filidio de la rama;Ussher 2003;Ussher & Perdomo 0008-283 (MERC)
Sphmag008;Células mediales del filidio de las ramas por la cara ventral;Ussher 2003;Ussher & Perdomo 0008-283 (MERC)
Sphmag009;Filidios de los caulidios;Ussher 2003;Ussher & Perdomo 0008-283 (MERC)
Sphmag010;Zona apical de los filidios de los caulidios;Ussher 2003;Ussher & Perdomo 0008-283 (MERC)
Sphmag011;Zona apical de los filidios de los caulidios por la cara abaxial;Ussher 2003;Ussher & Perdomo 0008-283 (MERC)
Sphmag012;Zona basal de los filidios de los caulidios por la cara ventral;Ussher 2003;Ussher & Perdomo 0008-283 (MERC)
Sphmag013;Corte transversal del tallo de la rama;Ussher 2003;Ussher & Perdomo 0008-283 (MERC)
Sphmag014;Corte transversal del filidio de la rama;Ussher 2003;Ussher & Perdomo 0008-283 (MERC)
Sphmag015;Corte transversal del filidio de la rama;Ussher 2003;Ussher & Perdomo 0008-283 (MERC)
Sphmag016;"Sphagnum magellanicum  Brid  a. Hábito; b. Ápices de las ramas; c. y e. Células corticales de las ramas con fibrillas; d. Filidio de la rama; f. Ápice de los filidios de las ramas con dientes por la cara dorsal; g. Células mediales de los filidios de la ramas por la cara ventral";Ussher 2003;Ussher & Perdomo 0008-283 (MERC)
Sphmag017;"Sphagnum magellanicum  Brid  a. Filidio del tallo; b. Zona apical del filidio del caulidio; c. Células apicales del filidio del caulidio por la cara ventral; d. Zona basal del filidio del caulidio por la cara ventral; e. Corte transversal del caulidio de la rama; f. y g. Corte transversal del filidio de la rama";Ussher 2003;Ussher & Perdomo 0008-283 (MERC)
