Imagen;Descripcion;Autor;Coleccion
Sphmer001;Ápices de las ramas;Ussher 2003;Ussher & Perdomo 0008-286 (MERC)
Sphmer002;Hábito;Ussher 2003;Ussher & Perdomo 0008-286 (MERC)
Sphmer003;Filidio del caulidio por la cara ventral;Ussher 2003;Ussher & Perdomo 0008-286 (MERC)
Sphmer004;Filidio del caulidio por la cara dorsal;Ussher 2003;Ussher & Perdomo 0008-286 (MERC)
Sphmer005;Celulas apicales de los filidios del caulidio, por la cara ventral, con huecos.;Ussher 2003;Ussher & Perdomo 0008-286 (MERC)
Sphmer006;Celulas apicales de los filidios del caulidio, por la cara dorsal, con poros.;Ussher 2003;Ussher & Perdomo 0008-286 (MERC)
Sphmer007;Corte longitudinal del caulidio;Ussher 2003;Ussher & Perdomo 0008-286 (MERC)
Sphmer008;Filidios de las ramas;Ussher 2003;Ussher & Perdomo 0008-286 (MERC)
Sphmer009;Zona apical del filidio de la rama por la cara dorsal;Ussher 2003;Ussher & Perdomo 0008-286 (MERC)
Sphmer010;Filidios de las ramas por la cara ventral (izq) y por la cara dorsal (der);Ussher 2003;Ussher & Perdomo 0008-286 (MERC)
Sphmer011;Corte transversal del filidio de las ramas;Ussher 2003;Ussher & Perdomo 0008-286 (MERC)
Sphmer012;Corte transversal del filidio de las ramas;Ussher 2003;Ussher & Perdomo 0008-286 (MERC)
Sphmer013;Corte transversal del filidio de las ramas;Ussher 2003;Ussher & Perdomo 0008-286 (MERC)
Sphmer014;"Sphagnum meridense (Hampe) Müll. Hal.  a. Hábito; b. Ápices de las ramas; c. Hoja del caulidio por la cara ventral; d. Hoja del caulidio por la cara dorsal; e. Corte longitudinal del caulidio, sin fibrillas y con poros; f. Células apicales de las filidios del caulidio por la cara dorsal, con poros; g. Células apicales de las filidios del caulidio por la cara ventral, con huecos";Ussher 2003;Ussher & Perdomo 0008-286 (MERC)
Sphmer015;"Sphagnum meridense (Hampe) Müll. Hal.  a. filidios de las ramas; b. Zona apical del filidio de la rama por la cara dorsal; c.; d.; e. y g. Cortes transversales de las filidios de las ramas; f. filidios de las ramas por la cara ventral (izq.) y por la cara dorsal (der.)";Ussher 2003;Ussher & Perdomo 0008-286 (MERC)
