Imagen;Descripción;Autor;Colección
Camdenden001;Hábito;Ussher 2003;Ussher & Perdomo 0008-335 (MERC)
Camdenden002;Hábito;Ussher 2003;Ussher & Perdomo 0008-335 (MERC)
Camdenden003;Filidios canaliculados;Ussher 2003;Ussher & Perdomo 0008-335 (MERC)
Camdenden004;Células alares;Ussher 2003;Ussher & Perdomo 0008-335 (MERC)
Camdenden005;Ápice del filidio;Ussher 2003;Ussher & Perdomo 0008-335 (MERC)
Camdenden006;Zona basal del filidio;Ussher 2003;Ussher & Perdomo 0008-335 (MERC)
Camdenden007;Celulas laterales mediales de la lámina;Ussher 2003;Ussher & Perdomo 0008-335 (MERC)
Camdenden008;Células de la costa en sección transversal;Ussher 2003;Ussher & Perdomo 0008-335 (MERC)
Camdenden009;Corte transversal, lámina uniestratificada, costa multiestratificada ;Ussher 2003;Ussher & Perdomo 0008-335 (MERC)
Camdenden010;"Campylopus densicoma (Müll. Hal.) Paris. var. densicoma  a. y b.  Hábito;  c. Ápice; d. Filidios canaliculadas; e. Células basales y células yuxtacostales; f. Zona basal del filidio. g. Células alares. h. Corte transversal, lámina uniestratificada, costa multiestratificada;  i. Células de la costa en sección transversal;  j. Células laterales mediales de la lámina";Ussher 2003;Ussher & Perdomo 0008-335 (MERC)
