Imagen;Descripción;Autor;Colección
Campit001;Hábito;Ussher 2003;Ussher & Perdomo 0008-282 (MERC)
Campit002;Corte transversal de la zona media de la hoja;Ussher 2003;Ussher & Perdomo 0008-282 (MERC)
Campit003;Corte transversal del filidio;Ussher 2003;Ussher & Perdomo 0008-282 (MERC)
Campit004;Corte transversal de la zona media del filidio;Ussher 2003;Ussher & Perdomo 0008-282 (MERC)
Campit005;Corte transversal del filidio;Ussher 2003;Ussher & Perdomo 0008-282 (MERC)
Campit006;Corte transversal del filidio;Ussher 2003;Ussher & Perdomo 0008-282 (MERC)
Campit007;Corte transversal de la zona media del filidio;Ussher 2003;Ussher & Perdomo 0008-282 (MERC)
Campit008;Corte transversal, cara abaxial rugosa;Ussher 2003;Ussher & Perdomo 0008-282 (MERC)
Campit009;Corte transversal, cara abaxial rugosa;Ussher 2003;Ussher & Perdomo 0008-282 (MERC)
Campit010;"Campylopus pittieri  R. S. Williams.  a. Hábito; b. Corte transversal de la zona media del filidio; c. Corte transversal de la zona apical del filidio; d. Corte transversal de la zona media de la lámina; e. Corte transversal, detalle de clorocistos y leucocistos;  f. y g. Cortes transversales, cara abaxial rugosa";Ussher 2003;Ussher & Perdomo 0008-282 (MERC)
