Imagen;Descripción;Autor;Colección
Ditdif001;Filidios. Zona apical.;Ussher 2003;Ussher et al. 9901-7 (MERC)
Ditdif002;Células basales laterales de la lámina;Ussher 2003;Ussher et al. 9901-7 (MERC)
Ditdif003;Corte transversal de la zona basal del filidio;Ussher 2003;Ussher et al. 9901-7 (MERC)
Ditdif004;Corte transversal de la zona apical del filidio;Ussher 2003;Ussher et al. 9901-7 (MERC)
Ditdif005;Gametofito y esporofito;Ussher 2003;Ussher et al. 9901-7 (MERC)
Ditdif006;Esporofito con peristoma largo;Ussher 2003;Ussher et al. 9901-7 (MERC)
Ditdif007;Peristoma y esporas;Ussher 2003;Ussher et al. 9901-7 (MERC)
Ditdif008;Peristoma y esporas;Ussher 2003;Ussher et al. 9901-7 (MERC)
Ditdif009;Dientes del peristoma téretes;Ussher 2003;Ussher et al. 9901-7 (MERC)
Ditdif010;"Ditrichum difficile (Duby) M. Fleisch.  a. Gametofito y esporofito; b. Esporofito con peristoma largo; c. Filidios, zona apical; d. Filidios, zona basal; e. Rama; f. Peristoma y esporas; g. Dientes del peristoma teretes; h. Células basales laterales de la lámina; i. Corte transversal de la zona basal del filidio; j. Corte transversal de la zona apical del filidio";Ussher 2003;Ussher et al. 9901-7 (MERC)
